GEOID,NAME,poverty_rate,log_median_income,unemployment_rate,single_parent_rate,rent_burden_rate
17031010100,Census Tract 101; Cook County; Illinois,0.19483624193162802,11.130141191085121,0.0976915356306457,0.1639135959339263,0.4662295081967213
17031010201,Census Tract 102.01; Cook County; Illinois,0.3360975609756098,11.019792400735156,0.04088541666666667,0.2855353788353162,0.3898228078146297
17031010202,Census Tract 102.02; Cook County; Illinois,0.2375195007800312,10.980160933685484,0.08914209115281502,0.10597302504816955,0.5284030010718114
17031010300,Census Tract 103; Cook County; Illinois,0.06455244886470257,11.132191993081248,0.04030655691172296,0.10099337748344371,0.5318818040435459
17031010400,Census Tract 104; Cook County; Illinois,0.18586387434554974,10.791995903397831,0.032,0.05737704918032787,0.4713896457765668
17031010501,Census Tract 105.01; Cook County; Illinois,0.10784564272936366,10.775993572039262,0.07511569953720185,0.0,0.4423171330387825
17031010502,Census Tract 105.02; Cook County; Illinois,0.26904474002418377,10.929762096145357,0.04497955474784189,0.14991762767710048,0.5378723404255319
17031010503,Census Tract 105.03; Cook County; Illinois,0.5192387256930079,9.838949031398556,0.03853046594982079,0.02857142857142857,0.47330960854092524
17031010600,Census Tract 106; Cook County; Illinois,0.14682730923694778,11.102141235384464,0.02547931382441978,0.08784893267651889,0.5249315068493151
17031010701,Census Tract 107.01; Cook County; Illinois,0.07520891364902507,11.163963556095796,0.03303055326176713,0.1891348088531187,0.5718050065876152
17031010702,Census Tract 107.02; Cook County; Illinois,0.19689018464528668,10.862703665261714,0.09497859089139743,0.25771971496437057,0.5106100795755968
17031020100,Census Tract 201; Cook County; Illinois,0.18716577540106952,10.951315189365955,0.09427748044462742,0.15503080082135523,0.5232029117379435
17031020200,Census Tract 202; Cook County; Illinois,0.06945409084595083,11.669971947909513,0.04605659241420831,0.1358695652173913,0.36644591611479027
17031020301,Census Tract 203.01; Cook County; Illinois,0.11235955056179775,11.205571156720927,0.08520559559135227,0.07692307692307693,0.4171779141104294
17031020302,Census Tract 203.02; Cook County; Illinois,0.06190278354798504,11.341009580890155,0.10540970564836913,0.17206290471785385,0.4744186046511628
17031020400,Census Tract 204; Cook County; Illinois,0.14214876033057852,11.246443735365446,0.06421267893660532,0.14172535211267606,0.5224215246636771
17031020500,Census Tract 205; Cook County; Illinois,0.31341653666146646,10.690762395820771,0.07098765432098765,0.4049079754601227,0.48171109733415995
17031020601,Census Tract 206.01; Cook County; Illinois,0.24616433685646097,11.019382957326798,0.06796487208858343,0.19613259668508287,0.4409282700421941
17031020602,Census Tract 206.02; Cook County; Illinois,0.12251779692768827,11.33665357200282,0.024104683195592287,0.17647058823529413,0.4484605087014726
17031020701,Census Tract 207.01; Cook County; Illinois,0.08453966415749856,11.429804691575846,0.08433734939759036,0.026859504132231406,0.5194805194805194
17031020702,Census Tract 207.02; Cook County; Illinois,0.20198956690525294,11.1403679146895,0.08420473307649973,0.2563157894736842,0.4410569105691057
17031020801,Census Tract 208.01; Cook County; Illinois,0.12570951585976628,11.183768407068236,0.026091449237923017,0.22009569377990432,0.4865546218487395
17031020802,Census Tract 208.02; Cook County; Illinois,0.18465778594395957,11.03830318616445,0.09951386903059765,0.23121723937099592,0.3701578192252511
17031020901,Census Tract 209.01; Cook County; Illinois,0.20828613044181907,10.824626512735104,0.032407407407407406,0.3405114401076716,0.5538020086083214
17031020902,Census Tract 209.02; Cook County; Illinois,0.23543868272302776,10.808353266740815,0.027151935297515885,0.22741433021806853,0.552026286966046
17031030101,Census Tract 301.01; Cook County; Illinois,0.20500426499857832,10.833602291003352,0.21227115289460663,0.13662790697674418,0.5714285714285714
17031030102,Census Tract 301.02; Cook County; Illinois,0.26268951878707975,10.916305904651349,0.07877571500250878,0.05823293172690763,0.39195509822263797
17031030103,Census Tract 301.03; Cook County; Illinois,0.23202614379084968,10.890870284517696,0.08835027365129007,0.14285714285714285,0.3879781420765027
17031030104,Census Tract 301.04; Cook County; Illinois,0.2846975088967972,10.733457577943756,0.12181528662420382,0.0353356890459364,0.5854063018242123
