ndi_quintile,Graduation_4_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,Transition_Gap
1,87.86399999999999,72.316,15.548000000000002
2,76.55,58.93333333333334,17.616666666666667
3,80.6,62.292,18.307999999999996
4,73.17083333333333,51.61666666666667,21.554166666666664
5,75.5,54.68,20.82
