School_ID,Long_Name,Primary_Category,School_Latitude,School_Longitude,Graduation_4_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,SAT_Grade_11_Score_School_Avg,Transition_Gap,geometry,GEOID,NAME,poverty_rate,log_median_income,unemployment_rate,single_parent_rate,rent_burden_rate,disadvantage_score
609764,Benito Juarez Community Academy High School,HS,41.852667,-87.663732,83.8,79.5,856,4.299999999999997,POINT (-87.663732 41.852667),17031310700,Census Tract 3107; Cook County; Illinois,0.2038404726735598,11.04527107410187,0.1414634146341463,0.1673151750972762,0.545816733067729,0.8317480047908333
609780,Marine Leadership Academy at Ames,HS,41.916045,-87.721742,88.4,68.4,881,20.0,POINT (-87.721742 41.916045),17031222900,Census Tract 2229; Cook County; Illinois,0.024340770791075,11.521359795790673,0.0913385826771653,0.1980676328502415,0.386046511627907,-0.8998711746011044
610244,Michele Clark Academic Prep Magnet High School,HS,41.872885,-87.753325,89.0,54.0,781,35.0,POINT (-87.753325 41.872885),17031831400,Census Tract 8314; Cook County; Illinois,0.2752293577981651,10.410606314370792,0.1131270010672358,0.338768115942029,0.5334448160535117,2.0654909711001346
400157,Noble - Baker College Prep,HS,41.734622,-87.556201,78.5,61.0,837,17.5,POINT (-87.556201 41.734622),17031460600,,,,,,,
400156,Noble - Butler College Prep,HS,41.706667,-87.602573,94.0,50.3,817,43.7,POINT (-87.602573 41.706667),17031500200,Census Tract 5002; Cook County; Illinois,0.1998907700709994,10.557139982397931,0.1349527665317139,0.5587583148558758,0.5537383177570093,2.474236004409846
400149,Acero Charter Schools - Victoria Soto,HS,41.801762,-87.711025,88.3,54.9,872,33.4,POINT (-87.711025 41.801762),17031630300,Census Tract 6303; Cook County; Illinois,0.0808735301175905,10.857459351377972,0.0827110855829982,0.0279383429672447,0.6355475763016158,-0.1446116634397326
400119,Legal Prep Charter Academy,HS,41.881733,-87.733778,75.7,31.4,778,44.3,POINT (-87.733778 41.881733),17031260300,Census Tract 2603; Cook County; Illinois,0.5957333333333333,9.939771264613375,0.1487481590574374,0.5191740412979351,0.6346153846153846,4.833558642376719
400117,Noble - Hansberry College Prep,HS,41.734442,-87.650987,84.7,70.8,810,13.900000000000006,POINT (-87.650987 41.734442),17031711400,Census Tract 7114; Cook County; Illinois,0.2386363636363636,10.895423645604192,0.1295862607338017,0.3737517831669044,0.7198581560283688,2.0129315503623584
400118,Noble - DRW College Prep,HS,41.869328,-87.711654,64.0,57.1,830,6.899999999999999,POINT (-87.711654 41.869328),17031843000,Census Tract 8430; Cook County; Illinois,0.4461602671118531,10.068450991783877,0.1113861386138613,0.5342741935483871,0.6614268440145102,3.943342384594928
400105,Urban Prep Academy for Young Men - Bronzeville,HS,41.831118,-87.613629,80.5,57.5,818,23.0,POINT (-87.613629 41.831118),17031351100,Census Tract 3511; Cook County; Illinois,0.5393518518518519,9.810275170813949,0.4121779859484777,0.7224334600760456,0.4343240651965484,6.676237733690055
