NAME,B17001_001E,B17001_002E,B19013_001E,B23025_003E,B23025_005E,B11004_001E,B11004_010E,B11004_016E,B25070_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,state,county,tract,poverty_rate,log_median_income,unemployment_rate,single_parent_rate,rent_burden_rate,GEOID
Census Tract 8043.05; Cook County; Illinois,7790,936,81277,4790,183,1804,145,184,432,17,41,93,25,17,031,804305,0.12015404364569962,11.30561835268232,0.038204592901878914,0.18237250554323725,0.4074074074074074,17031804305
Census Tract 8043.06; Cook County; Illinois,6379,429,88125,3395,37,1514,140,64,253,0,0,0,88,17,031,804306,0.06725192036369337,11.38651154011457,0.010898379970544918,0.13474240422721268,0.34782608695652173,17031804306
Census Tract 8043.08; Cook County; Illinois,4752,691,79205,2490,28,983,112,92,592,20,0,23,229,17,031,804308,0.1454124579124579,11.279794707122951,0.011244979919678716,0.20752797558494404,0.4594594594594595,17031804308
Census Tract 8043.09; Cook County; Illinois,3226,184,86885,1843,57,756,14,41,162,43,0,0,42,17,031,804309,0.05703657780533168,11.372340684156354,0.030927835051546393,0.07275132275132275,0.5246913580246914,17031804309
Census Tract 8043.12; Cook County; Illinois,1888,28,158467,1056,43,547,0,9,9,0,0,0,3,17,031,804312,0.014830508474576272,11.973301648729706,0.04071969696969697,0.016453382084095063,0.3333333333333333,17031804312
Census Tract 8043.13; Cook County; Illinois,6869,567,121986,3815,306,1677,29,129,470,16,48,0,111,17,031,804313,0.08254476634153443,11.711661563032278,0.08020969855832241,0.09421586165772212,0.3723404255319149,17031804313
Census Tract 8043.14; Cook County; Illinois,1409,56,106410,868,23,369,0,0,76,14,5,32,0,17,031,804314,0.0397444996451384,11.575054836435777,0.026497695852534562,0.0,0.6710526315789473,17031804314
Census Tract 8043.15; Cook County; Illinois,2547,74,98050,1492,96,626,13,44,71,0,0,13,0,17,031,804315,0.029053788771103258,11.493232831624493,0.064343163538874,0.09105431309904154,0.18309859154929578,17031804315
Census Tract 8043.16; Cook County; Illinois,4514,277,110667,2434,86,1210,82,8,95,0,0,0,21,17,031,804316,0.06136464333185645,11.614280971274173,0.03533278553820871,0.0743801652892562,0.22105263157894736,17031804316
Census Tract 8044.03; Cook County; Illinois,6861,299,79203,3739,288,1875,33,154,928,69,17,28,206,17,031,804403,0.04357965311179129,11.279769455873012,0.0770259427654453,0.09973333333333333,0.3448275862068966,17031804403
Census Tract 8044.04; Cook County; Illinois,5504,390,86802,2955,107,1293,72,54,222,24,12,79,44,17,031,804404,0.07085755813953488,11.371384941857645,0.03620981387478849,0.09744779582366589,0.7162162162162162,17031804404
Census Tract 8044.05; Cook County; Illinois,3301,321,72031,1647,121,823,36,159,672,95,18,0,65,17,031,804405,0.09724325961829748,11.184851860891301,0.0734669095324833,0.23693803159173754,0.2648809523809524,17031804405
Census Tract 8044.06; Cook County; Illinois,5772,707,72237,3169,163,1378,12,91,275,24,23,0,42,17,031,804406,0.12248787248787249,11.187707658989343,0.05143578415904071,0.07474600870827286,0.3236363636363636,17031804406
Census Tract 8045.05; Cook County; Illinois,3644,176,84728,2266,40,923,104,85,582,29,37,35,58,17,031,804505,0.048298572996706916,11.347201404523505,0.0176522506619594,0.2047670639219935,0.27319587628865977,17031804505
Census Tract 8045.06; Cook County; Illinois,5141,366,132679,2777,82,1429,23,17,324,11,0,42,215,17,031,804506,0.07119237502431433,11.795687956101624,0.029528267915016206,0.02799160251924423,0.8271604938271605,17031804506
Census Tract 8045.08; Cook County; Illinois,2345,491,65708,1259,74,614,0,190,477,6,22,144,80,17,031,804508,0.2093816631130064,11.092975962661091,0.05877680698967434,0.30944625407166126,0.5283018867924528,17031804508
Census Tract 8045.09; Cook County; Illinois,6259,969,90174,3133,57,1426,15,228,391,13,0,20,35,17,031,804509,0.15481706342866272,11.409496416162149,0.018193424832428983,0.17040673211781207,0.17391304347826086,17031804509
Census Tract 8045.10; Cook County; Illinois,5379,506,80801,2775,177,1300,60,207,451,94,0,0,91,17,031,804510,0.09406952965235174,11.299744620670225,0.06378378378378378,0.2053846153846154,0.41019955654101997,17031804510
Census Tract 8045.11; Cook County; Illinois,2234,508,68516,1078,32,607,15,118,424,23,28,11,125,17,031,804511,0.22739480752014324,11.134822573617875,0.029684601113172542,0.21911037891268534,0.4410377358490566,17031804511
Census Tract 8045.12; Cook County; Illinois,3555,73,146710,2101,42,957,0,87,111,0,0,0,0,17,031,804512,0.020534458509142053,11.89621312813369,0.019990480723465015,0.09090909090909091,0.0,17031804512
Census Tract 8045.13; Cook County; Illinois,3753,15,151051,2339,65,1238,0,102,215,0,14,0,51,17,031,804513,0.003996802557953637,11.9253728071173,0.027789653698161606,0.08239095315024232,0.3023255813953488,17031804513
Census Tract 8045.14; Cook County; Illinois,5381,150,111713,2514,93,1273,0,0,337,50,0,0,141,17,031,804514,0.02787585950566809,11.6236883614545,0.03699284009546539,0.0,0.5667655786350149,17031804514
Census Tract 8046.03; Cook County; Illinois,6333,182,98247,3806,94,1571,82,110,2003,59,218,122,92,17,031,804603,0.02873835465024475,11.49523999491418,0.02469784550709406,0.12221514958625079,0.24513230154767848,17031804603
Census Tract 8046.06; Cook County; Illinois,6144,261,136908,3615,152,1807,21,40,118,0,0,33,0,17,031,804606,0.04248046875,11.82706444638437,0.04204702627939143,0.033757609297177645,0.2796610169491525,17031804606
